substep,detached_particles,detached_fraction,broken_bonds,broken_bond_fraction,porosity,permeability_multiplier,returned_detachment_multiplier
186,77,1.0,136,1.0,0.58,15.608216854450102,3.7
187,77,1.0,136,1.0,0.58,15.608216854450102,3.7
188,77,1.0,136,1.0,0.58,15.608216854450102,3.7
189,77,1.0,136,1.0,0.58,15.608216854450102,3.7
190,77,1.0,136,1.0,0.58,15.608216854450102,3.7
191,77,1.0,136,1.0,0.58,15.608216854450102,3.7
192,77,1.0,136,1.0,0.58,15.608216854450102,3.7
193,77,1.0,136,1.0,0.58,15.608216854450102,3.7
194,77,1.0,136,1.0,0.58,15.608216854450102,3.7
195,77,1.0,136,1.0,0.58,15.608216854450102,3.7
196,77,1.0,136,1.0,0.58,15.608216854450102,3.7
197,77,1.0,136,1.0,0.58,15.608216854450102,3.7
198,77,1.0,136,1.0,0.58,15.608216854450102,3.7
199,77,1.0,136,1.0,0.58,15.608216854450102,3.7
200,77,1.0,136,1.0,0.58,15.608216854450102,3.7
201,77,1.0,136,1.0,0.58,15.608216854450102,3.7
202,77,1.0,136,1.0,0.58,15.608216854450102,3.7
203,77,1.0,136,1.0,0.58,15.608216854450102,3.7
204,77,1.0,136,1.0,0.58,15.608216854450102,3.7
205,77,1.0,136,1.0,0.58,15.608216854450102,3.7
206,77,1.0,136,1.0,0.58,15.608216854450102,3.7
207,77,1.0,136,1.0,0.58,15.608216854450102,3.7
208,77,1.0,136,1.0,0.58,15.608216854450102,3.7
209,77,1.0,136,1.0,0.58,15.608216854450102,3.7
210,77,1.0,136,1.0,0.58,15.608216854450102,3.7
211,77,1.0,136,1.0,0.58,15.608216854450102,3.7
212,77,1.0,136,1.0,0.58,15.608216854450102,3.7
213,77,1.0,136,1.0,0.58,15.608216854450102,3.7
214,77,1.0,136,1.0,0.58,15.608216854450102,3.7
215,77,1.0,136,1.0,0.58,15.608216854450102,3.7
216,77,1.0,136,1.0,0.58,15.608216854450102,3.7
217,77,1.0,136,1.0,0.58,15.608216854450102,3.7
218,77,1.0,136,1.0,0.58,15.608216854450102,3.7
219,77,1.0,136,1.0,0.58,15.608216854450102,3.7
