date,section,q_star_width_norm_mean,q_star_width_norm_p95,level_upstream_m_mean,sample_count
2022-12-21,section_7,7.910426915455189e-07,1.2007859017299156e-06,2.9298468749999995,1440
2022-12-21,section_8,5.762000605992885e-06,7.277552120701084e-06,2.9298468749999995,1440
2022-12-22,section_1,8.588045259490276e-06,8.68963756200185e-06,3.1474445833333333,1440
2022-12-22,section_2,1.4835114086197106e-06,1.5184096812604463e-06,3.1474445833333333,1440
2022-12-22,section_3,3.973444336153536e-07,4.05190912729294e-07,3.1474445833333333,1440
2022-12-22,section_4,2.7746765380001504e-08,2.873948931206313e-08,3.1474445833333333,1440
2022-12-22,section_5,1.626627972728378e-08,1.714244783102971e-08,3.1474445833333333,1440
2022-12-22,section_6,9.31314597272324e-07,9.70769032432422e-07,3.1474445833333333,1440
2022-12-22,section_7,1.1526247184038395e-06,1.191844865065291e-06,3.1474445833333333,1440
2022-12-22,section_8,7.006061842621172e-06,7.24627776448019e-06,3.1474445833333333,1440
2022-12-23,section_1,8.540189666635195e-06,8.647041430662548e-06,3.1475506944444445,1440
2022-12-23,section_2,1.4812665581951076e-06,1.5008230511633162e-06,3.1475506944444445,1440
2022-12-23,section_3,4.246415792667129e-07,4.305291241634102e-07,3.1475506944444445,1440
2022-12-23,section_4,2.77958652117642e-08,2.883671494997916e-08,3.1475506944444445,1440
2022-12-23,section_5,1.5476939921687672e-08,1.6656939701041014e-08,3.1475506944444445,1440
2022-12-23,section_6,9.04898060894542e-07,9.18494355813272e-07,3.1475506944444445,1440
2022-12-23,section_7,1.141137484544358e-06,1.1523239105060762e-06,3.1475506944444445,1440
2022-12-23,section_8,6.926754087322343e-06,7.121987417308512e-06,3.1475506944444445,1440
2022-12-24,section_1,8.365042139935493e-06,8.428542787681937e-06,3.147890347222222,1440
2022-12-24,section_2,1.4783483231611497e-06,1.5045544845761504e-06,3.147890347222222,1440
2022-12-24,section_3,4.275465806457735e-07,4.34463912487446e-07,3.147890347222222,1440
2022-12-24,section_4,2.6159064370828083e-08,2.6865435478045625e-08,3.147890347222222,1440
2022-12-24,section_5,1.4138458021717932e-08,1.4798049089604102e-08,3.147890347222222,1440
2022-12-24,section_6,8.807765415920702e-07,8.930056191698247e-07,3.147890347222222,1440
2022-12-24,section_7,1.1307106579458644e-06,1.147739445041706e-06,3.147890347222222,1440
2022-12-24,section_8,6.842489004582029e-06,7.01429005756396e-06,3.147890347222222,1440
2022-12-25,section_1,8.333561417809138e-06,8.396245778141482e-06,3.1480876388888888,1440
2022-12-25,section_2,1.511571346460993e-06,1.5429181117482583e-06,3.1480876388888888,1440
2022-12-25,section_3,4.388716172234779e-07,4.473361221739686e-07,3.1480876388888888,1440
2022-12-25,section_4,2.6725349865114865e-08,2.8254790567667945e-08,3.1480876388888888,1440
2022-12-25,section_5,1.4233519101800472e-08,1.5293126547133544e-08,3.1480876388888888,1440
2022-12-25,section_6,8.87427707703561e-07,9.05696188811914e-07,3.1480876388888888,1440
2022-12-25,section_7,1.129869731835607e-06,1.152105128894263e-06,3.1480876388888888,1440
2022-12-25,section_8,6.898048800620194e-06,7.075710833161478e-06,3.1480876388888888,1440
2022-12-26,section_1,8.481844305620435e-06,8.600071385973148e-06,3.147778333333333,1440
2022-12-26,section_2,1.559721723111062e-06,1.5872461695578734e-06,3.147778333333333,1440
2022-12-26,section_3,4.503893430134389e-07,4.53801931157528e-07,3.147778333333333,1440
2022-12-26,section_4,2.9139137346927266e-08,2.9943129980706324e-08,3.147778333333333,1440
2022-12-26,section_5,1.7113009917706e-08,1.779242227655394e-08,3.147778333333333,1440
2022-12-26,section_6,9.078615621143844e-07,9.18494355813272e-07,3.147778333333333,1440
2022-12-26,section_7,1.1358305208003402e-06,1.1564807611305308e-06,3.147778333333333,1440
2022-12-26,section_8,6.893066122949847e-06,7.076481104061525e-06,3.147778333333333,1440
2022-12-27,section_1,8.358886112692347e-06,8.533620733039676e-06,3.1476632638888886,1440
2022-12-27,section_2,1.5553741089850812e-06,1.5779750949712106e-06,3.1476632638888886,1440
2022-12-27,section_3,4.434615100575047e-07,4.475224066613952e-07,3.1476632638888886,1440
2022-12-27,section_4,2.9306614858479008e-08,3.0122057866084364e-08,3.1476632638888886,1440
2022-12-27,section_5,1.7052357213035222e-08,1.7835487069582973e-08,3.1476632638888886,1440
2022-12-27,section_6,9.200259932584002e-07,9.270863928178752e-07,3.1476632638888886,1440
